county,countyLabel
http://www.wikidata.org/entity/Q107146,Alameda
http://www.wikidata.org/entity/Q108077,Alpine
http://www.wikidata.org/entity/Q156177,Amador
http://www.wikidata.org/entity/Q156181,Butte
http://www.wikidata.org/entity/Q271613,Calaveras
http://www.wikidata.org/entity/Q271609,Colusa
http://www.wikidata.org/entity/Q108058,Contra Costa
http://www.wikidata.org/entity/Q156186,Del Norte
http://www.wikidata.org/entity/Q108093,El Dorado
http://www.wikidata.org/entity/Q271915,Fresno
http://www.wikidata.org/entity/Q271601,Glenn
http://www.wikidata.org/entity/Q109651,Humboldt
http://www.wikidata.org/entity/Q169952,Imperial
http://www.wikidata.org/entity/Q109670,Inyo
http://www.wikidata.org/entity/Q108047,Kern
http://www.wikidata.org/entity/Q156358,Kings
http://www.wikidata.org/entity/Q156361,Lake
http://www.wikidata.org/entity/Q156340,Lassen
http://www.wikidata.org/entity/Q104994,Los Angeles
http://www.wikidata.org/entity/Q109661,Madera
http://www.wikidata.org/entity/Q108117,Marin
http://www.wikidata.org/entity/Q156191,Mariposa
http://www.wikidata.org/entity/Q108087,Mendocino
http://www.wikidata.org/entity/Q109690,Merced
http://www.wikidata.org/entity/Q109695,Modoc
http://www.wikidata.org/entity/Q156366,Mono
http://www.wikidata.org/entity/Q108072,Monterey
http://www.wikidata.org/entity/Q108137,Napa
http://www.wikidata.org/entity/Q109681,Nevada
http://www.wikidata.org/entity/Q5925,Orange
http://www.wikidata.org/entity/Q156353,Placer
http://www.wikidata.org/entity/Q156342,Plumas
http://www.wikidata.org/entity/Q108111,Riverside
http://www.wikidata.org/entity/Q108131,Sacramento
http://www.wikidata.org/entity/Q109656,San Benito
http://www.wikidata.org/entity/Q108053,San Bernardino
http://www.wikidata.org/entity/Q108143,San Diego
http://www.wikidata.org/entity/Q13188841,San Francisco
http://www.wikidata.org/entity/Q108499,San Joaquin
http://www.wikidata.org/entity/Q49014,San Luis Obispo
http://www.wikidata.org/entity/Q108101,San Mateo
http://www.wikidata.org/entity/Q108106,Santa Barbara
http://www.wikidata.org/entity/Q110739,Santa Clara
http://www.wikidata.org/entity/Q108122,Santa Cruz
http://www.wikidata.org/entity/Q156350,Shasta
http://www.wikidata.org/entity/Q156370,Sierra
http://www.wikidata.org/entity/Q156374,Siskiyou
http://www.wikidata.org/entity/Q108083,Solano
http://www.wikidata.org/entity/Q108067,Sonoma
http://www.wikidata.org/entity/Q108503,Stanislaus
http://www.wikidata.org/entity/Q156377,Sutter
http://www.wikidata.org/entity/Q109705,Tehama
http://www.wikidata.org/entity/Q156188,Trinity
http://www.wikidata.org/entity/Q109686,Tulare
http://www.wikidata.org/entity/Q156346,Tuolumne
http://www.wikidata.org/entity/Q108127,Ventura
http://www.wikidata.org/entity/Q109709,Yolo
http://www.wikidata.org/entity/Q196014,Yuba
